method,benchmark,training_bs,smoke_status,return_code,log_file,note
da,split_cifar10,8,PASS,137,ae_logs/fig3/da_bs8_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,split_cifar10,16,PASS,137,ae_logs/fig3/da_bs16_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,split_cifar10,32,PASS,137,ae_logs/fig3/da_bs32_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,split_cifar10,64,PASS,137,ae_logs/fig3/da_bs64_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,split_cifar10,128,PASS,137,ae_logs/fig3/da_bs128_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,split_cifar10,256,PASS,137,ae_logs/fig3/da_bs256_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,split_cifar10,8,PASS,137,ae_logs/fig3/fp_bs8_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,split_cifar10,16,PASS,137,ae_logs/fig3/fp_bs16_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,split_cifar10,32,PASS,137,ae_logs/fig3/fp_bs32_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,split_cifar10,64,PASS,137,ae_logs/fig3/fp_bs64_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,split_cifar10,128,PASS,137,ae_logs/fig3/fp_bs128_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,split_cifar10,256,PASS,137,ae_logs/fig3/fp_bs256_split_cifar10.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nc,8,PASS,137,ae_logs/fig3/da_bs8_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nc,16,PASS,137,ae_logs/fig3/da_bs16_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nc,32,PASS,137,ae_logs/fig3/da_bs32_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nc,64,PASS,137,ae_logs/fig3/da_bs64_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nc,128,PASS,137,ae_logs/fig3/da_bs128_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nc,256,PASS,137,ae_logs/fig3/da_bs256_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nc,8,PASS,137,ae_logs/fig3/fp_bs8_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nc,16,PASS,137,ae_logs/fig3/fp_bs16_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nc,32,PASS,137,ae_logs/fig3/fp_bs32_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nc,64,PASS,137,ae_logs/fig3/fp_bs64_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nc,128,PASS,137,ae_logs/fig3/fp_bs128_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nc,256,PASS,137,ae_logs/fig3/fp_bs256_core50_nc.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nic,8,PASS,137,ae_logs/fig3/da_bs8_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nic,16,PASS,137,ae_logs/fig3/da_bs16_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nic,32,PASS,137,ae_logs/fig3/da_bs32_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nic,64,PASS,137,ae_logs/fig3/da_bs64_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nic,128,PASS,137,ae_logs/fig3/da_bs128_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
da,core50_nic,256,PASS,137,ae_logs/fig3/da_bs256_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nic,8,PASS,137,ae_logs/fig3/fp_bs8_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nic,16,PASS,137,ae_logs/fig3/fp_bs16_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nic,32,PASS,137,ae_logs/fig3/fp_bs32_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nic,64,PASS,137,ae_logs/fig3/fp_bs64_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nic,128,PASS,137,ae_logs/fig3/fp_bs128_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
fp,core50_nic,256,PASS,137,ae_logs/fig3/fp_bs256_core50_nic.log,2-minute smoke test only; full sweep omitted for time (see README for the full command)
