method,benchmark,entry_point,scheduler_mode,algorithm,train_samples,wallclock_sec,qps,speedup_vs_avalanche,streaming_accuracy,return_code,log_file,note
Avalanche (sequential),core50_nc,test_avalanche_lib.py,-,replay,119894,1208,99.2,1.0,0.4736,0,ae_logs/fig7/vanilla_replay.log,
Default Alternation (DA),core50_nc,main.py,default,replay,119894,1289,93.0,0.94,0.4632,0,ae_logs/fig7/da_replay.log,
Ekya,core50_nc,main.py,ekya,replay,119894,639,187.6,1.89,0.4123,0,ae_logs/fig7/ekya_replay.log,
RECL,core50_nc,main.py,recl_sched,replay,119894,1078,111.2,1.12,0.4228,0,ae_logs/fig7/recl_replay.log,
AOCL_basic (fully parallel),core50_nc,main.py,fully_parallel,replay,119894,585,204.9,2.06,0.4102,0,ae_logs/fig7/fp_replay.log,
AOCL (ours),core50_nc,main.py,adaptocl,replay,119894,456,262.9,2.65,0.3727,0,ae_logs/fig7/ours_replay.log,
Avalanche (sequential),core50_nc,test_avalanche_lib.py,-,gss_greedy,119894,4663,25.7,1.0,0.3552,0,ae_logs/fig7/vanilla_gss_greedy.log,
Default Alternation (DA),core50_nc,main.py,default,gss_greedy,119894,9108,13.2,0.51,0.3163,0,ae_logs/fig7/da_gss_greedy.log,
Ekya,core50_nc,main.py,ekya,gss_greedy,119894,588,203.9,7.93,0.447,0,ae_logs/fig7/ekya_gss_greedy.log,
RECL,core50_nc,main.py,recl_sched,gss_greedy,119894,6508,18.4,0.72,0.3037,0,ae_logs/fig7/recl_gss_greedy.log,
AOCL_basic (fully parallel),core50_nc,main.py,fully_parallel,gss_greedy,119894,3946,30.4,1.18,0.353,0,ae_logs/fig7/fp_gss_greedy.log,
AOCL (ours),core50_nc,main.py,adaptocl,gss_greedy,119894,3610,33.2,1.29,0.1406,0,ae_logs/fig7/ours_gss_greedy.log,
Avalanche (sequential),core50_nc,test_avalanche_lib.py,-,gem,119894,1795,66.8,1.0,0.3603,0,ae_logs/fig7/vanilla_gem.log,
Default Alternation (DA),core50_nc,main.py,default,gem,119894,2622,45.7,0.68,0.1915,0,ae_logs/fig7/da_gem.log,
Ekya,core50_nc,main.py,ekya,gem,119894,637,188.2,2.82,0.4509,0,ae_logs/fig7/ekya_gem.log,
RECL,core50_nc,main.py,recl_sched,gem,119894,1846,64.9,0.97,0.186,0,ae_logs/fig7/recl_gem.log,
AOCL_basic (fully parallel),core50_nc,main.py,fully_parallel,gem,119894,1502,79.8,1.2,0.2162,0,ae_logs/fig7/fp_gem.log,
AOCL (ours),core50_nc,main.py,adaptocl,gem,119894,606,197.8,2.96,0.1706,0,ae_logs/fig7/ours_gem.log,
Avalanche (sequential),core50_nc,test_avalanche_lib.py,-,agem,119894,1517,79.0,1.0,0.4361,0,ae_logs/fig7/vanilla_agem.log,
Default Alternation (DA),core50_nc,main.py,default,agem,119894,1662,72.1,0.91,0.199,0,ae_logs/fig7/da_agem.log,
Ekya,core50_nc,main.py,ekya,agem,119894,632,189.7,2.4,0.4477,0,ae_logs/fig7/ekya_agem.log,
RECL,core50_nc,main.py,recl_sched,agem,119894,1430,83.8,1.06,0.2228,0,ae_logs/fig7/recl_agem.log,
AOCL_basic (fully parallel),core50_nc,main.py,fully_parallel,agem,119894,789,152.0,1.92,0.222,0,ae_logs/fig7/fp_agem.log,
AOCL (ours),core50_nc,main.py,adaptocl,agem,119894,622,192.8,2.44,0.2259,0,ae_logs/fig7/ours_agem.log,
