file_name	pressure	weight	Lighting	Background
0001.jpg	0	0	Dark	Blue
0002.jpg	5	0	Dark	Blue
0003.jpg	75	0	Dark	Blue
0004.jpg	100	0	Dark	Blue
0005.jpg	125	0	Dark	Blue
0006.jpg	150	0	Dark	Blue
0007.jpg	175	0	Dark	Blue
0008.jpg	200	0	Dark	Blue
0009.jpg	225	0	Dark	Blue
0010.jpg	250	0	Dark	Blue
0011.jpg	275	0	Dark	Blue
0012.jpg	300	0	Dark	Blue
0013.jpg	0	0	Medium	Blue
0014.jpg	5	0	Medium	Blue
0015.jpg	75	0	Medium	Blue
0016.jpg	100	0	Medium	Blue
0017.jpg	125	0	Medium	Blue
0018.jpg	150	0	Medium	Blue
0019.jpg	175	0	Medium	Blue
0020.jpg	200	0	Medium	Blue
0021.jpg	225	0	Medium	Blue
0022.jpg	250	0	Medium	Blue
0023.jpg	275	0	Medium	Blue
0024.jpg	300	0	Medium	Blue
0025.jpg	0	0	High	Blue
0026.jpg	5	0	High	Blue
0027.jpg	75	0	High	Blue
0028.jpg	100	0	High	Blue
0029.jpg	125	0	High	Blue
0030.jpg	150	0	High	Blue
0031.jpg	175	0	High	Blue
0032.jpg	200	0	High	Blue
0033.jpg	225	0	High	Blue
0034.jpg	250	0	High	Blue
0035.jpg	275	0	High	Blue
0036.jpg	300	0	High	Blue
0037.jpg	0	0	Red	Blue
0038.jpg	5	0	Red	Blue
0039.jpg	75	0	Red	Blue
0040.jpg	100	0	Red	Blue
0041.jpg	125	0	Red	Blue
0042.jpg	150	0	Red	Blue
0043.jpg	175	0	Red	Blue
0044.jpg	200	0	Red	Blue
0045.jpg	225	0	Red	Blue
0046.jpg	250	0	Red	Blue
0047.jpg	275	0	Red	Blue
0048.jpg	300	0	Red	Blue
0049.jpg	0	0	Blue	Blue
0050.jpg	5	0	Blue	Blue
0051.jpg	75	0	Blue	Blue
0052.jpg	100	0	Blue	Blue
0053.jpg	125	0	Blue	Blue
0054.jpg	150	0	Blue	Blue
0055.jpg	175	0	Blue	Blue
0056.jpg	200	0	Blue	Blue
0057.jpg	225	0	Blue	Blue
0058.jpg	250	0	Blue	Blue
0059.jpg	275	0	Blue	Blue
0060.jpg	300	0	Blue	Blue
0061.jpg	0	77	Dark	Blue
0062.jpg	5	77	Dark	Blue
0063.jpg	75	77	Dark	Blue
0064.jpg	100	77	Dark	Blue
0065.jpg	125	77	Dark	Blue
0066.jpg	150	77	Dark	Blue
0067.jpg	175	77	Dark	Blue
0068.jpg	200	77	Dark	Blue
0069.jpg	225	77	Dark	Blue
0070.jpg	250	77	Dark	Blue
0071.jpg	275	77	Dark	Blue
0072.jpg	300	77	Dark	Blue
0073.jpg	0	77	Medium	Blue
0074.jpg	5	77	Medium	Blue
0075.jpg	75	77	Medium	Blue
0076.jpg	100	77	Medium	Blue
0077.jpg	125	77	Medium	Blue
0078.jpg	150	77	Medium	Blue
0079.jpg	175	77	Medium	Blue
0080.jpg	200	77	Medium	Blue
0081.jpg	225	77	Medium	Blue
0082.jpg	250	77	Medium	Blue
0083.jpg	275	77	Medium	Blue
0084.jpg	300	77	Medium	Blue
0085.jpg	0	77	High	Blue
0086.jpg	5	77	High	Blue
0087.jpg	75	77	High	Blue
0088.jpg	100	77	High	Blue
0089.jpg	125	77	High	Blue
0090.jpg	150	77	High	Blue
0091.jpg	175	77	High	Blue
0092.jpg	200	77	High	Blue
0093.jpg	225	77	High	Blue
0094.jpg	250	77	High	Blue
0095.jpg	275	77	High	Blue
0096.jpg	300	77	High	Blue
0097.jpg	0	77	Red	Blue
0098.jpg	5	77	Red	Blue
