method,benchmark,samples,dmr_16ms_pct,dmr_33ms_pct,dmr_100ms_pct
Default Alternation (DA),split_cifar10,1330,0.602,0.602,0.602
Default Alternation (DA),split_cifar100,50,2.0,2.0,2.0
Default Alternation (DA),core50_ni,2820,0.709,0.674,0.674
Default Alternation (DA),core50_nc,2820,0.851,0.816,0.816
Default Alternation (DA),core50_nic,4512,0.532,0.51,0.51
Ekya,split_cifar10,840,0.357,0.119,0.119
Ekya,split_cifar100,30,3.333,3.333,3.333
Ekya,core50_ni,2256,0.089,0.044,0.044
Ekya,core50_nc,2256,0.177,0.044,0.044
Ekya,core50_nic,3948,0.304,0.025,0.025
RECL,split_cifar10,630,0.159,0.159,0.159
RECL,split_cifar100,60,1.667,1.667,1.667
RECL,core50_ni,1974,0.101,0.051,0.051
RECL,core50_nc,1692,0.118,0.059,0.059
RECL,core50_nic,2820,0.106,0.035,0.035
AOCL_basic (fully parallel),split_cifar10,980,0.306,0.102,0.102
AOCL_basic (fully parallel),split_cifar100,30,3.333,3.333,3.333
AOCL_basic (fully parallel),core50_ni,2256,0.133,0.044,0.044
AOCL_basic (fully parallel),core50_nc,1974,0.101,0.051,0.051
AOCL_basic (fully parallel),core50_nic,3948,0.127,0.025,0.025
AOCL (ours),split_cifar10,350,0.571,0.286,0.286
AOCL (ours),split_cifar100,30,3.333,3.333,3.333
AOCL (ours),core50_ni,1128,1.33,0.443,0.443
AOCL (ours),core50_nc,1128,1.684,0.621,0.621
AOCL (ours),core50_nic,1128,2.128,0.709,0.709
