method,task,scenario,entry_point,scheduler_mode,wallclock_sec,streaming_accuracy,return_code,log_file,note
Avalanche (sequential),endless_ilc,Classes,test_avalanche_lib.py,-,380,0.9739,0,ae_logs/tab3/vanilla_ilc_Classes.log,
Default Alternation (DA),endless_ilc,Classes,main.py,default,416,0.9784,0,ae_logs/tab3/da_ilc_Classes.log,
Ekya,endless_ilc,Classes,main.py,ekya,162,0.4872,0,ae_logs/tab3/ekya_ilc_Classes.log,
RECL,endless_ilc,Classes,main.py,recl_sched,359,0.9839,0,ae_logs/tab3/recl_ilc_Classes.log,
AOCL_basic (fully parallel),endless_ilc,Classes,main.py,fully_parallel,160,0.4848,0,ae_logs/tab3/fp_ilc_Classes.log,
AOCL (ours),endless_ilc,Classes,main.py,adaptocl,233,0.9758,0,ae_logs/tab3/ours_ilc_Classes.log,
Avalanche (sequential),endless_ilc,Illumination,test_avalanche_lib.py,-,1600,0.9978,0,ae_logs/tab3/vanilla_ilc_Illumination.log,
Default Alternation (DA),endless_ilc,Illumination,main.py,default,1479,0.9894,0,ae_logs/tab3/da_ilc_Illumination.log,
Ekya,endless_ilc,Illumination,main.py,ekya,832,0.9611,0,ae_logs/tab3/ekya_ilc_Illumination.log,
RECL,endless_ilc,Illumination,main.py,recl_sched,1117,0.9937,0,ae_logs/tab3/recl_ilc_Illumination.log,
AOCL_basic (fully parallel),endless_ilc,Illumination,main.py,fully_parallel,834,0.9953,0,ae_logs/tab3/fp_ilc_Illumination.log,
AOCL (ours),endless_ilc,Illumination,main.py,adaptocl,735,0.9965,0,ae_logs/tab3/ours_ilc_Illumination.log,
Avalanche (sequential),endless_ilc,Weather,test_avalanche_lib.py,-,1649,0.9756,0,ae_logs/tab3/vanilla_ilc_Weather.log,
Default Alternation (DA),endless_ilc,Weather,main.py,default,1526,0.976,0,ae_logs/tab3/da_ilc_Weather.log,
Ekya,endless_ilc,Weather,main.py,ekya,857,0.9841,0,ae_logs/tab3/ekya_ilc_Weather.log,
RECL,endless_ilc,Weather,main.py,recl_sched,1154,0.9842,0,ae_logs/tab3/recl_ilc_Weather.log,
AOCL_basic (fully parallel),endless_ilc,Weather,main.py,fully_parallel,851,0.9847,0,ae_logs/tab3/fp_ilc_Weather.log,
AOCL (ours),endless_ilc,Weather,main.py,adaptocl,701,0.9762,0,ae_logs/tab3/ours_ilc_Weather.log,
Avalanche (sequential),endless_ss,Classes,test_avalanche_lib.py,-,1435,0.9693,0,ae_logs/tab3/vanilla_ss_Classes.log,
Default Alternation (DA),endless_ss,Classes,main.py,default,1193,0.969,0,ae_logs/tab3/da_ss_Classes.log,pixel accuracy: mean over experiences of final eval cycle
Ekya,endless_ss,Classes,main.py,ekya,869,0.9691,0,ae_logs/tab3/ekya_ss_Classes.log,pixel accuracy: mean over experiences of final eval cycle
RECL,endless_ss,Classes,main.py,recl_sched,1270,0.9702,0,ae_logs/tab3/recl_ss_Classes.log,pixel accuracy: mean over experiences of final eval cycle
