config,benchmark,scheduler_mode,train_samples,wallclock_sec,qps,streaming_accuracy,return_code,log_file,note
AOCL_basic,split_cifar10,fully_parallel,50000,253,197.6,0.48,0,fig6_logs/fp_split_cifar10.log,
TA,split_cifar10,adaptive_time,50000,231,216.5,0.368,0,ae_logs/tab4/adaptive_time_split_cifar10.log,
AA,split_cifar10,adaptive_accuracy,50000,228,219.3,0.3699,0,ae_logs/tab4/adaptive_accuracy_split_cifar10.log,
AOCL,split_cifar10,adaptocl,50000,189,264.6,0.4024,0,fig6_logs/ours_split_cifar10.log,
AOCL_basic,split_cifar100,fully_parallel,5000,57,87.7,0.256,0,fig6_logs/fp_split_cifar100.log,
TA,split_cifar100,adaptive_time,5000,55,90.9,0.274,0,ae_logs/tab4/adaptive_time_split_cifar100.log,
AA,split_cifar100,adaptive_accuracy,5000,57,87.7,0.208,0,ae_logs/tab4/adaptive_accuracy_split_cifar100.log,
AOCL,split_cifar100,adaptocl,5000,63,79.4,0.186,0,fig6_logs/ours_split_cifar100.log,
AOCL_basic,core50_ni,fully_parallel,119894,608,197.2,0.4082,0,fig6_logs/fp_core50_ni.log,
TA,core50_ni,adaptive_time,119894,616,194.6,0.4308,0,ae_logs/tab4/adaptive_time_core50_ni.log,
AA,core50_ni,adaptive_accuracy,119894,603,198.8,0.4384,0,ae_logs/tab4/adaptive_accuracy_core50_ni.log,
AOCL,core50_ni,adaptocl,119894,572,209.6,0.3992,0,fig6_logs/ours_core50_ni.log,
AOCL_basic,core50_nc,fully_parallel,119894,581,206.4,0.4551,0,fig6_logs/fp_core50_nc.log,
TA,core50_nc,adaptive_time,119894,634,189.1,0.4425,0,ae_logs/tab4/adaptive_time_core50_nc.log,
AA,core50_nc,adaptive_accuracy,119894,574,208.9,0.4476,0,ae_logs/tab4/adaptive_accuracy_core50_nc.log,
AOCL,core50_nc,adaptocl,119894,560,214.1,0.4309,0,fig6_logs/ours_core50_nc.log,
AOCL_basic,core50_nic,fully_parallel,119894,916,130.9,0.4336,0,fig6_logs/fp_core50_nic.log,
TA,core50_nic,adaptive_time,119894,861,139.2,0.4396,0,ae_logs/tab4/adaptive_time_core50_nic.log,
AA,core50_nic,adaptive_accuracy,119894,870,137.8,0.4481,0,ae_logs/tab4/adaptive_accuracy_core50_nic.log,
AOCL,core50_nic,adaptocl,119894,844,142.1,0.4137,0,fig6_logs/ours_core50_nic.log,
